5L profile	Denmark	France	Germany	Japan	Netherlands	Spain	Thailand	UK	US	Zimbabwe
34524	0.330	0.007	0.347	0.423	0.212	0.034	0.142	0.106	0.375	0.421
34525	0.178	-0.051	0.314	0.398	0.109	-0.008	0.102	0.022	0.321	0.357
34531	0.533	0.130	0.357	0.494	0.417	0.119	0.198	0.233	0.477	0.516
34532	0.479	0.059	0.357	0.444	0.319	0.069	0.172	0.177	0.425	0.480
34533	0.465	0.040	0.357	0.431	0.293	0.057	0.166	0.162	0.411	0.470
34534	0.318	-0.016	0.325	0.407	0.194	0.016	0.127	0.081	0.361	0.408
34535	0.166	-0.074	0.292	0.382	0.092	-0.026	0.088	-0.003	0.309	0.343
34541	0.399	0.069	0.276	0.449	0.320	0.050	0.143	0.128	0.400	0.422
34542	0.345	-0.002	0.276	0.399	0.222	0.001	0.117	0.072	0.354	0.386
34543	0.331	-0.021	0.276	0.386	0.196	-0.012	0.111	0.057	0.343	0.376
34544	0.185	-0.077	0.244	0.362	0.097	-0.053	0.073	-0.024	0.294	0.314
34545	0.032	-0.135	0.211	0.337	-0.005	-0.094	0.033	-0.108	0.244	0.249
34551	0.199	-0.023	0.154	0.380	0.174	-0.054	0.061	-0.030	0.283	0.281
34552	0.145	-0.094	0.154	0.330	0.076	-0.103	0.035	-0.086	0.248	0.245
34553	0.131	-0.113	0.154	0.317	0.050	-0.116	0.029	-0.101	0.239	0.235
34554	-0.016	-0.169	0.122	0.293	-0.049	-0.156	-0.010	-0.182	0.193	0.173
34555	-0.168	-0.227	0.089	0.268	-0.151	-0.198	-0.049	-0.266	0.145	0.108
35111	0.641	0.345	0.403	0.671	0.507	0.270	0.296	0.367	0.522	0.613
35112	0.587	0.274	0.403	0.621	0.409	0.221	0.271	0.311	0.501	0.577
35113	0.573	0.255	0.403	0.608	0.383	0.208	0.264	0.296	0.495	0.567
35114	0.426	0.199	0.371	0.584	0.284	0.168	0.226	0.215	0.423	0.505
35115	0.274	0.141	0.338	0.559	0.182	0.126	0.186	0.131	0.348	0.440
35121	0.591	0.255	0.313	0.607	0.438	0.199	0.238	0.269	0.487	0.559
35122	0.537	0.184	0.313	0.557	0.340	0.150	0.213	0.212	0.452	0.523
35123	0.523	0.165	0.313	0.544	0.314	0.137	0.206	0.198	0.443	0.513
35124	0.377	0.109	0.281	0.520	0.216	0.097	0.168	0.117	0.379	0.451
35125	0.224	0.051	0.248	0.495	0.113	0.055	0.128	0.033	0.313	0.386
35131	0.579	0.233	0.291	0.591	0.421	0.181	0.224	0.244	0.478	0.546
35132	0.525	0.162	0.291	0.541	0.323	0.132	0.199	0.188	0.440	0.510
35133	0.511	0.143	0.291	0.528	0.297	0.119	0.192	0.173	0.430	0.500
35134	0.364	0.087	0.259	0.504	0.198	0.079	0.154	0.092	0.368	0.438
35135	0.212	0.029	0.226	0.479	0.096	0.037	0.114	0.008	0.304	0.373
35141	0.446	0.172	0.210	0.546	0.324	0.112	0.169	0.139	0.391	0.452
35142	0.392	0.100	0.210	0.496	0.226	0.063	0.144	0.083	0.360	0.416
35143	0.378	0.082	0.210	0.483	0.200	0.050	0.137	0.068	0.352	0.406
35144	0.231	0.026	0.178	0.458	0.101	0.010	0.099	-0.013	0.292	0.344
35145	0.079	-0.032	0.145	0.434	-0.001	-0.032	0.059	-0.097	0.229	0.279
35151	0.245	0.080	0.088	0.477	0.178	0.009	0.087	-0.019	0.261	0.311
35152	0.191	0.009	0.088	0.427	0.080	-0.040	0.062	-0.075	0.240	0.275
35153	0.177	-0.010	0.088	0.414	0.054	-0.053	0.055	-0.090	0.234	0.265
35154	0.030	-0.066	0.056	0.390	-0.045	-0.093	0.017	-0.171	0.177	0.203
35155	-0.122	-0.124	0.023	0.365	-0.147	-0.135	-0.023	-0.255	0.117	0.138
35211	0.603	0.220	0.403	0.636	0.481	0.213	0.249	0.338	0.514	0.579
35212	0.549	0.148	0.403	0.586	0.383	0.164	0.223	0.282	0.479	0.542
35213	0.535	0.130	0.403	0.573	0.357	0.151	0.217	0.267	0.469	0.533
35214	0.388	0.074	0.371	0.549	0.259	0.111	0.178	0.186	0.406	0.470
35215	0.236	0.016	0.338	0.524	0.156	0.069	0.139	0.102	0.339	0.406
35221	0.553	0.130	0.313	0.572	0.412	0.142	0.191	0.240	0.465	0.525
35222	0.499	0.059	0.313	0.522	0.314	0.093	0.166	0.183	0.416	0.488
35223	0.485	0.040	0.313	0.509	0.288	0.080	0.159	0.169	0.403	0.479
35224	0.338	-0.016	0.281	0.485	0.190	0.040	0.121	0.088	0.348	0.417
35225	0.186	-0.074	0.248	0.460	0.087	-0.002	0.081	0.004	0.290	0.352
35231	0.541	0.108	0.291	0.556	0.395	0.124	0.177	0.215	0.452	0.512
35232	0.487	0.036	0.291	0.506	0.297	0.075	0.151	0.159	0.400	0.475
35233	0.473	0.018	0.291	0.493	0.271	0.062	0.145	0.144	0.387	0.466
35234	0.326	-0.038	0.259	0.469	0.173	0.022	0.106	0.063	0.334	0.403
35235	0.174	-0.096	0.226	0.444	0.070	-0.020	0.067	-0.021	0.278	0.339
35241	0.407	0.047	0.210	0.510	0.298	0.055	0.122	0.110	0.372	0.418
35242	0.353	-0.025	0.210	0.460	0.200	0.006	0.097	0.054	0.327	0.381
35243	0.339	-0.043	0.210	0.447	0.174	-0.007	0.090	0.039	0.315	0.372
35244	0.192	-0.099	0.178	0.423	0.076	-0.047	0.052	-0.042	0.264	0.309
35245	0.040	-0.157	0.145	0.398	-0.027	-0.089	0.012	-0.126	0.210	0.245
35251	0.207	-0.045	0.088	0.442	0.152	-0.048	0.040	-0.048	0.252	0.277
35252	0.153	-0.117	0.088	0.392	0.054	-0.097	0.014	-0.104	0.217	0.240
35253	0.139	-0.135	0.088	0.379	0.028	-0.110	0.008	-0.119	0.208	0.231
35254	-0.008	-0.191	0.056	0.355	-0.070	-0.150	-0.031	-0.200	0.159	0.168
35255	-0.161	-0.249	0.023	0.330	-0.173	-0.192	-0.070	-0.284	0.108	0.104
35311	0.593	0.189	0.403	0.627	0.475	0.199	0.237	0.331	0.512	0.570
35312	0.539	0.118	0.403	0.577	0.377	0.150	0.212	0.275	0.473	0.534
35313	0.525	0.099	0.403	0.564	0.351	0.137	0.205	0.260	0.463	0.524
35314	0.378	0.043	0.371	0.540	0.252	0.097	0.167	0.179	0.401	0.462
35315	0.226	-0.015	0.338	0.515	0.150	0.055	0.127	0.095	0.337	0.397
35321	0.543	0.099	0.313	0.563	0.406	0.128	0.179	0.233	0.459	0.516
35322	0.489	0.028	0.313	0.513	0.308	0.079	0.154	0.176	0.407	0.480
35323	0.475	0.009	0.313	0.500	0.282	0.066	0.147	0.162	0.393	0.470
35324	0.329	-0.047	0.281	0.476	0.184	0.026	0.109	0.081	0.340	0.408
35325	0.176	-0.105	0.248	0.451	0.081	-0.016	0.069	-0.004	0.285	0.343
35331	0.531	0.077	0.291	0.547	0.389	0.110	0.165	0.208	0.446	0.503
35332	0.477	0.006	0.291	0.497	0.291	0.061	0.140	0.152	0.391	0.467
35333	0.463	-0.013	0.291	0.484	0.265	0.048	0.133	0.137	0.376	0.457
35334	0.316	-0.069	0.259	0.460	0.166	0.008	0.095	0.056	0.325	0.395
35335	0.164	-0.127	0.226	0.435	0.064	-0.034	0.055	-0.028	0.272	0.330
35341	0.398	0.016	0.210	0.502	0.292	0.041	0.110	0.103	0.368	0.409
35342	0.344	-0.056	0.210	0.452	0.194	-0.008	0.085	0.047	0.319	0.373
35343	0.330	-0.074	0.210	0.439	0.168	-0.021	0.078	0.032	0.307	0.363
35344	0.183	-0.130	0.178	0.414	0.069	-0.061	0.040	-0.049	0.257	0.301
35345	0.031	-0.188	0.145	0.390	-0.033	-0.103	0.000	-0.133	0.206	0.236
35351	0.197	-0.076	0.088	0.433	0.146	-0.062	0.028	-0.055	0.250	0.268
35352	0.143	-0.147	0.088	0.383	0.048	-0.111	0.003	-0.111	0.212	0.232
35353	0.129	-0.166	0.088	0.370	0.022	-0.124	-0.004	-0.126	0.202	0.222
35354	-0.018	-0.222	0.056	0.346	-0.077	-0.164	-0.042	-0.207	0.155	0.160
35355	-0.170	-0.280	0.023	0.321	-0.179	-0.206	-0.082	-0.291	0.106	0.095
35411	0.562	0.178	0.403	0.598	0.467	0.158	0.218	0.312	0.483	0.540
35412	0.508	0.107	0.403	0.548	0.368	0.109	0.192	0.256	0.450	0.503
35413	0.494	0.088	0.403	0.535	0.343	0.096	0.186	0.241	0.441	0.494
35414	0.347	0.032	0.371	0.511	0.244	0.056	0.147	0.160	0.381	0.432
35415	0.195	-0.026	0.338	0.486	0.142	0.014	0.108	0.076	0.318	0.367
35421	0.512	0.088	0.313	0.534	0.398	0.087	0.160	0.213	0.436	0.486
35422	0.458	0.017	0.313	0.484	0.300	0.038	0.135	0.157	0.389	0.450
35423	0.444	-0.002	0.313	0.471	0.274	0.025	0.128	0.142	0.377	0.440
